epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.825,3.41448,3.48928,1.52348,0.15024,0.46902,0.10074,0.10212,2.89724,4.1334,1.30894,0.0670529,0.000332799,0.000332799
2,301.26,2.876,3.07141,1.28711,0.17128,0.58522,0.21406,0.18051,2.62281,2.36677,1.19274,0.0340496,0.000662835,0.000662835
3,451.517,2.74709,2.76979,1.23463,0.40109,0.36102,0.20928,0.17052,2.42889,2.20703,1.13726,0.00104299,0.000989571,0.000989571
4,598.68,2.68686,2.69729,1.20437,0.56505,0.41497,0.33384,0.26482,2.45,2.19224,1.13789,0.00098515,0.00098515,0.00098515
5,748.177,2.64886,2.60279,1.20683,0.61965,0.37891,0.36774,0.28323,2.34193,2.15359,1.11839,0.0009802,0.0009802,0.0009802
6,897.611,2.55351,2.55266,1.16581,0.50036,0.45045,0.32952,0.27014,2.33264,2.17509,1.10886,0.00097525,0.00097525,0.00097525
7,1044.89,2.52416,2.52506,1.17277,0.6975,0.33534,0.37946,0.30061,2.32188,1.97209,1.10266,0.0009703,0.0009703,0.0009703
8,1194.72,2.45126,2.4774,1.13907,0.73347,0.40007,0.41295,0.32573,2.34704,1.85802,1.0975,0.00096535,0.00096535,0.00096535
9,1343.83,2.44846,2.41289,1.16324,0.7319,0.39049,0.42001,0.33711,2.25078,1.89107,1.09216,0.0009604,0.0009604,0.0009604
10,1493.32,2.47629,2.37273,1.1506,0.63028,0.46608,0.4308,0.34389,2.17385,1.72508,1.0647,0.00095545,0.00095545,0.00095545
11,1643.15,2.4452,2.38036,1.13464,0.45512,0.47527,0.25996,0.22826,2.40416,3.2365,1.14486,0.0009505,0.0009505,0.0009505
12,1789.66,2.399,2.39517,1.13665,0.65065,0.50579,0.44337,0.35384,2.2728,2.11624,1.09034,0.00094555,0.00094555,0.00094555
13,1939.45,2.43303,2.43968,1.1275,0.64155,0.46694,0.4516,0.35731,2.11686,1.7417,1.04613,0.0009406,0.0009406,0.0009406
14,2089.18,2.37355,2.30963,1.13476,0.58075,0.45891,0.41757,0.33259,2.11284,2.19504,1.05638,0.00093565,0.00093565,0.00093565
15,2236.18,2.38061,2.29612,1.12508,0.74622,0.44708,0.47365,0.37005,2.12513,1.8118,1.05027,0.0009307,0.0009307,0.0009307
16,2387.18,2.36073,2.27097,1.13422,0.56884,0.47494,0.38278,0.31032,2.22654,1.88089,1.06625,0.00092575,0.00092575,0.00092575
17,2534.08,2.31747,2.25298,1.09181,0.59158,0.49054,0.41584,0.3344,2.21072,1.72271,1.07509,0.0009208,0.0009208,0.0009208
18,2680.98,2.31261,2.20995,1.1064,0.74522,0.44457,0.47687,0.37732,2.13001,1.80115,1.05348,0.00091585,0.00091585,0.00091585
19,2832.16,2.3562,2.21863,1.09665,0.46517,0.5525,0.29011,0.22815,2.17027,5.04512,1.04917,0.0009109,0.0009109,0.0009109
20,2980.02,2.24236,2.11542,1.08876,0.77451,0.45594,0.50457,0.40251,2.05549,1.75284,1.03474,0.00090595,0.00090595,0.00090595
21,3129.41,2.24883,2.05159,1.07618,0.72363,0.52142,0.50457,0.39947,2.1297,1.55999,1.0434,0.000901,0.000901,0.000901
22,3276.08,2.28829,2.14567,1.08793,0.64612,0.54348,0.46661,0.37393,2.2102,1.92921,1.0749,0.00089605,0.00089605,0.00089605
23,3422.73,2.30185,2.22803,1.10495,0.43214,0.4841,0.2672,0.20783,2.16274,2.55884,1.04637,0.0008911,0.0008911,0.0008911
24,3569.12,2.20448,2.1646,1.06006,0.70506,0.53005,0.5306,0.41661,2.03703,1.54888,1.02678,0.00088615,0.00088615,0.00088615
