epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,197.313,3.21063,3.77662,1.63409,0.04378,0.16179,0.03297,0.01142,3.33156,217.722,1.47047,0.000665598,0.000665598,0.000665598
2,397.586,2.94097,3.06118,1.39794,0.39449,0.28976,0.25298,0.09539,2.58232,2.3674,1.23462,0.00132567,0.00132567,0.00132567
3,595.02,2.76369,2.82068,1.30845,0.33851,0.25808,0.19485,0.0659,2.64888,25.2013,1.21185,0.00197914,0.00197914,0.00197914
4,791.991,2.76099,5.54304,1.27144,0.52066,0.3451,0.35589,0.13526,2.37316,2.24622,1.1635,0.0019703,0.0019703,0.0019703
5,989.214,2.67146,2.65069,1.25865,0.42902,0.35172,0.32386,0.12189,2.42929,2.21569,1.15475,0.0019604,0.0019604,0.0019604
6,1186.57,2.60164,2.62431,1.21749,0.40067,0.29619,0.24634,0.08564,2.62558,2.36677,1.23193,0.0019505,0.0019505,0.0019505
7,1383.52,2.52856,2.66753,1.21681,0.50256,0.40596,0.38143,0.12325,2.44098,1.87039,1.12973,0.0019406,0.0019406,0.0019406
8,1580.42,2.50414,2.53794,1.18073,0.32969,0.29197,0.23742,0.09237,2.3847,4.40456,1.14565,0.0019307,0.0019307,0.0019307
9,1777.25,2.47552,2.50542,1.20371,0.54648,0.42526,0.37609,0.15876,2.19639,45.8339,1.08824,0.0019208,0.0019208,0.0019208
10,1974.89,2.50403,2.48412,1.1827,0.43909,0.36054,0.32953,0.12781,2.33093,7.63438,1.11707,0.0019109,0.0019109,0.0019109
11,2172.13,2.46056,2.44462,1.16331,0.38838,0.37985,0.30719,0.12598,2.30255,3.35048,1.0992,0.001901,0.001901,0.001901
12,2368.94,2.3971,2.48873,1.15584,0.58806,0.4556,0.4612,0.18048,2.189,1.96242,1.05452,0.0018911,0.0018911,0.0018911
13,2566.05,2.46292,2.49103,1.15998,0.59237,0.39891,0.39406,0.1695,2.21501,25.2936,1.09966,0.0018812,0.0018812,0.0018812
