epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.9519,3.25401,5.63601,1.64613,0.09002,0.27009,0.02736,0.03167,4.11023,15.2722,2.04815,0.000665598,0.000665598,0.000665598
2,137.097,3.00396,3.41104,1.41245,0.40369,0.35154,0.22795,0.18585,2.57061,2.23147,1.23776,0.00133218,0.00133218,0.00133218
3,198.5,2.82751,3.0988,1.32288,0.38855,0.33664,0.20342,0.1709,2.7334,2.45517,1.248,0.00199844,0.00199844,0.00199844
4,259.12,2.81123,3.11898,1.28483,0.60291,0.34951,0.28839,0.23035,2.54344,2.55853,1.17424,0.0019989,0.0019989,0.0019989
5,320.222,2.70057,2.89446,1.26524,0.53716,0.35558,0.3047,0.24282,2.37779,2.26305,1.13387,0.00199805,0.00199805,0.00199805
6,381.535,2.60838,2.82536,1.22532,0.38936,0.39217,0.19976,0.16081,2.44359,4.26719,1.13876,0.00199695,0.00199695,0.00199695
7,442.375,2.53941,2.75907,1.20744,0.71193,0.35301,0.34695,0.28687,2.3853,2.03965,1.11815,0.00199561,0.00199561,0.00199561
8,503.133,2.47828,2.64268,1.17408,0.48547,0.43482,0.30587,0.25922,2.43068,3.48402,1.16668,0.00199402,0.00199402,0.00199402
9,563.421,2.47257,2.56592,1.19698,0.71024,0.39419,0.4235,0.33906,2.27442,1.91938,1.09542,0.00199219,0.00199219,0.00199219
10,625.002,2.54694,2.52091,1.19103,0.55875,0.48207,0.35977,0.29668,2.32529,2.10258,1.09919,0.00199012,0.00199012,0.00199012
11,686.303,2.49093,2.45919,1.1659,0.54559,0.49384,0.35305,0.28907,2.40128,2.10581,1.11414,0.00198781,0.00198781,0.00198781
12,747.303,2.47937,2.48968,1.1716,0.62906,0.49826,0.4218,0.33969,2.212,1.69403,1.07125,0.00198526,0.00198526,0.00198526
13,808.368,2.45778,2.47956,1.1483,0.67626,0.4988,0.47514,0.37156,2.13314,1.73092,1.05059,0.00198246,0.00198246,0.00198246
14,869.56,2.39061,2.40809,1.1584,0.62988,0.49347,0.44512,0.3509,2.12558,1.76025,1.05005,0.00197943,0.00197943,0.00197943
15,930.276,2.42126,2.39243,1.15131,0.67455,0.49196,0.4684,0.36452,2.15147,1.66618,1.07124,0.00197616,0.00197616,0.00197616
16,991.164,2.38652,2.32163,1.15438,0.58772,0.49329,0.41164,0.33073,2.14773,2.48285,1.05026,0.00197265,0.00197265,0.00197265
17,1052.7,2.3526,2.40812,1.11367,0.57793,0.42637,0.30115,0.24757,2.22938,2.20206,1.08082,0.0019689,0.0019689,0.0019689
18,1114.01,2.34317,2.32974,1.12117,0.67006,0.52344,0.48196,0.38563,2.1011,1.61618,1.04277,0.00196491,0.00196491,0.00196491
19,1175.85,2.35659,2.37557,1.11072,0.68924,0.53133,0.49957,0.39464,2.06189,1.67196,1.03892,0.00196069,0.00196069,0.00196069
20,1237.22,2.26725,2.25156,1.11015,0.69328,0.50118,0.4889,0.37758,2.0827,1.80229,1.03888,0.00195624,0.00195624,0.00195624
21,1298.08,2.28348,2.16359,1.0974,0.71365,0.51719,0.49055,0.3875,2.11408,1.66806,1.04618,0.00195155,0.00195155,0.00195155
22,1359.48,2.33675,2.25744,1.10819,0.67585,0.52172,0.48388,0.37832,2.11457,1.87819,1.04851,0.00194662,0.00194662,0.00194662
23,1420.43,2.27825,2.28354,1.1138,0.69463,0.47711,0.44206,0.3548,2.1821,1.82816,1.06275,0.00194147,0.00194147,0.00194147
24,1480.72,2.26769,2.3761,1.08455,0.72823,0.50891,0.49245,0.38944,2.12823,1.78922,1.04222,0.00193609,0.00193609,0.00193609
25,1541.62,2.31378,2.19696,1.10269,0.62502,0.50965,0.43405,0.34658,2.18217,1.74312,1.06321,0.00193048,0.00193048,0.00193048
26,1602.52,2.30169,2.30583,1.09341,0.71927,0.54183,0.52242,0.41196,2.08346,1.64696,1.0318,0.00192464,0.00192464,0.00192464
27,1663.69,2.35653,2.20923,1.1193,0.74714,0.51811,0.51853,0.39503,2.1674,1.69285,1.04708,0.00191858,0.00191858,0.00191858
28,1724.12,2.28374,2.29667,1.07139,0.72051,0.39989,0.41956,0.32888,2.15683,1.99374,1.05273,0.00191229,0.00191229,0.00191229
29,1785.04,2.23089,2.40846,1.07833,0.67293,0.47637,0.44965,0.35828,2.09773,1.72762,1.04557,0.00190578,0.00190578,0.00190578
30,1846.28,2.27958,2.20332,1.09434,0.7132,0.51391,0.52324,0.40581,2.0537,1.68131,1.03145,0.00189905,0.00189905,0.00189905
31,1908.03,2.23074,2.138,1.08432,0.79003,0.48633,0.53342,0.4199,2.05254,1.72874,1.02944,0.0018921,0.0018921,0.0018921
32,1970.43,2.26001,2.46428,1.08606,0.72,0.5295,0.52486,0.4024,2.19041,1.65412,1.05489,0.00188493,0.00188493,0.00188493
33,2031.87,2.27196,2.10076,1.1017,0.72686,0.54973,0.52784,0.4022,2.1099,1.55548,1.0262,0.00187754,0.00187754,0.00187754
34,2093.22,2.2493,2.12271,1.07225,0.77438,0.54587,0.55507,0.42826,2.06434,1.5442,1.02393,0.00186995,0.00186995,0.00186995
35,2155.23,2.27781,2.03487,1.08153,0.7365,0.56444,0.54974,0.43079,2.00184,1.49145,1.01523,0.00186213,0.00186213,0.00186213
36,2216.95,2.21278,2.00466,1.0828,0.72072,0.54183,0.52037,0.41192,2.01086,1.55216,1.02526,0.00185411,0.00185411,0.00185411
37,2277.8,2.20623,2.1218,1.06166,0.75157,0.55929,0.54631,0.42595,2.08768,1.50355,1.04016,0.00184588,0.00184588,0.00184588
38,2338.89,2.2126,2.04088,1.08077,0.73145,0.54826,0.53682,0.42087,2.00641,1.66367,1.01388,0.00183745,0.00183745,0.00183745
39,2399.72,2.19338,2.09099,1.06475,0.70472,0.53315,0.52683,0.41465,1.97502,2.16946,1.00449,0.00182881,0.00182881,0.00182881
40,2461.02,2.1957,2.05163,1.06043,0.74501,0.55176,0.56451,0.43835,1.99967,1.59684,1.01356,0.00181997,0.00181997,0.00181997
41,2522.55,2.20124,2.03966,1.06872,0.73981,0.54716,0.53735,0.42353,2.0096,1.61215,1.01719,0.00181093,0.00181093,0.00181093
42,2583.98,2.22107,1.96676,1.09185,0.74084,0.57786,0.56318,0.44506,1.9895,1.60035,1.01588,0.00180169,0.00180169,0.00180169
43,2644.57,2.21308,1.94354,1.06159,0.77008,0.56775,0.57953,0.44604,1.97435,1.49812,1.00421,0.00179225,0.00179225,0.00179225
44,2705.47,2.23598,2.08041,1.07279,0.67584,0.52271,0.50113,0.39142,2.04046,1.97323,1.02241,0.00178263,0.00178263,0.00178263
45,2766.72,2.24644,2.01484,1.07954,0.76924,0.5473,0.56416,0.43375,1.99438,1.63875,1.00137,0.00177281,0.00177281,0.00177281
46,2828.06,2.16793,1.97408,1.076,0.69095,0.54459,0.52301,0.4096,1.98887,2.26126,1.00927,0.0017628,0.0017628,0.0017628
47,2888.68,2.15752,2.01377,1.06038,0.7644,0.54344,0.5616,0.43781,1.96772,1.59895,1.00724,0.00175261,0.00175261,0.00175261
48,2949.26,2.19009,1.95834,1.05398,0.79038,0.54973,0.57813,0.44815,1.99073,1.58379,1.00984,0.00174223,0.00174223,0.00174223
49,3011.14,2.16545,1.993,1.06407,0.7992,0.55525,0.57936,0.45324,2.01146,1.56511,1.01715,0.00173168,0.00173168,0.00173168
50,3072.68,2.22746,2.0707,1.07793,0.73583,0.5319,0.54327,0.41389,2.04946,1.67963,1.01718,0.00172095,0.00172095,0.00172095
51,3132.78,2.20994,1.96511,1.05881,0.7483,0.57272,0.57128,0.42979,2.12826,1.52368,1.0359,0.00171004,0.00171004,0.00171004
52,3194.15,2.17346,1.8484,1.0665,0.7551,0.55451,0.55694,0.42236,2.04135,1.54301,1.01009,0.00169895,0.00169895,0.00169895
53,3255.34,2.2155,1.9729,1.06671,0.78464,0.60324,0.59334,0.45717,1.99436,1.48652,1.00894,0.0016877,0.0016877,0.0016877
54,3317,2.17513,1.90728,1.04155,0.74535,0.52522,0.4989,0.39664,2.11268,1.63119,1.03604,0.00167628,0.00167628,0.00167628
55,3378.26,2.18957,1.77973,1.06859,0.77162,0.58669,0.53912,0.42854,2.10333,1.60422,1.0279,0.0016647,0.0016647,0.0016647
56,3439.34,2.1886,1.88184,1.05567,0.77712,0.58079,0.56973,0.45164,1.97597,1.70298,1.0102,0.00165295,0.00165295,0.00165295
57,3500.08,2.1615,1.95593,1.05632,0.82412,0.54624,0.58511,0.45206,1.9781,1.65382,1.00436,0.00164105,0.00164105,0.00164105
58,3561.72,2.16462,1.92447,1.04557,0.73316,0.56882,0.57038,0.44422,1.97309,1.84915,1.00391,0.00162899,0.00162899,0.00162899
