epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2569.59,2.21334,1.96287,1.05652,0.74875,0.5879,0.57253,0.45624,1.95313,1.45678,0.99091,0.000900844,0.000900844,0.000900844
43,2630.75,2.20462,1.98198,1.03228,0.71644,0.56058,0.51435,0.40799,2.05648,1.56868,1.00614,0.000896127,0.000896127,0.000896127
44,2691.63,2.25123,2.00411,1.04524,0.7427,0.53282,0.51081,0.40603,2.07302,1.66634,1.02012,0.000891313,0.000891313,0.000891313
45,2752.49,2.20634,2.01589,1.04062,0.75893,0.56187,0.55848,0.43383,2.00022,1.51445,0.99102,0.000886404,0.000886404,0.000886404
46,2813.38,2.16462,1.89074,1.04334,0.74098,0.5832,0.53644,0.42759,2.03534,1.50501,1.00321,0.000881401,0.000881401,0.000881401
47,2873.55,2.18914,2.04226,1.03516,0.77195,0.57381,0.57597,0.44851,2.02739,1.45333,0.99352,0.000876305,0.000876305,0.000876305
48,2934.24,2.20684,1.9214,1.02387,0.75845,0.56921,0.54471,0.43159,2.03906,1.58492,1.00539,0.000871117,0.000871117,0.000871117
49,2995.13,2.16048,1.90531,1.02466,0.8149,0.508,0.52475,0.4158,2.00573,1.66659,0.99901,0.000865839,0.000865839,0.000865839
50,3055.83,2.2142,2.06638,1.03641,0.754,0.54808,0.56925,0.43967,1.9724,1.67001,0.96945,0.000860473,0.000860473,0.000860473
51,3116.24,2.1732,1.95987,1.01714,0.77124,0.57768,0.59984,0.4624,2.04087,1.53012,0.9983,0.000855018,0.000855018,0.000855018
52,3177.41,2.17063,1.87803,1.02948,0.77858,0.56246,0.57364,0.44213,2.02713,1.51452,0.98505,0.000849477,0.000849477,0.000849477
53,3238.18,2.21026,1.97013,1.03315,0.53873,0.57139,0.47182,0.36665,2.00965,2.06945,0.98945,0.000843851,0.000843851,0.000843851
54,3299.09,2.15145,1.87792,1.00648,0.76164,0.57216,0.55494,0.42795,2.04423,1.95547,0.99316,0.000838141,0.000838141,0.000838141
55,3359.95,2.1761,1.8178,1.02877,0.78799,0.5979,0.58191,0.45942,1.93913,1.50662,0.97554,0.000832349,0.000832349,0.000832349
56,3420.83,2.18974,1.90836,1.01688,0.77936,0.59901,0.59205,0.46253,1.95035,1.60526,0.9742,0.000826477,0.000826477,0.000826477
57,3481.98,2.15228,1.90843,1.02127,0.5485,0.56309,0.47957,0.37668,2.00593,2.64936,0.99281,0.000820525,0.000820525,0.000820525
58,3542.86,2.15875,1.88284,1.01155,0.71422,0.58945,0.54046,0.42593,2.00701,2.13774,0.99367,0.000814495,0.000814495,0.000814495
59,3604.03,2.15663,1.92174,1.01368,0.4641,0.56132,0.30087,0.23648,2.04051,6.84313,0.99396,0.000808389,0.000808389,0.000808389
60,3664.8,2.13108,1.81453,1.00501,0.77079,0.61004,0.599,0.47109,1.94226,1.60815,0.97748,0.000802208,0.000802208,0.000802208
61,3726.08,2.14648,1.99584,1.01422,0.59442,0.54146,0.45777,0.36742,2.01091,2.83038,0.99163,0.000795954,0.000795954,0.000795954
62,3786.79,2.11635,1.95033,1.00995,0.67736,0.58706,0.52107,0.41676,1.92596,2.17787,0.972,0.000789628,0.000789628,0.000789628
63,3847.44,2.22639,2.05678,1.01934,0.8062,0.59974,0.59456,0.46016,2.08696,1.40677,1.00087,0.000783231,0.000783231,0.000783231
64,3908.2,2.15874,1.90843,1.00791,0.81475,0.59901,0.61872,0.4805,1.97442,1.39762,0.97805,0.000776766,0.000776766,0.000776766
65,3969.56,2.13348,1.79166,1.00476,0.76105,0.58798,0.59951,0.46328,1.91433,1.43709,0.96452,0.000770234,0.000770234,0.000770234
66,4030.87,2.12762,1.80183,1.01719,0.39795,0.57603,0.26117,0.20973,1.94863,7.80008,0.98345,0.000763637,0.000763637,0.000763637
67,4091.37,2.10212,1.78716,0.99869,0.79365,0.59809,0.60523,0.46826,1.95086,1.40964,0.96969,0.000756976,0.000756976,0.000756976
68,4152.27,2.11324,1.88929,1.0007,0.47944,0.60857,0.31844,0.25226,1.95627,inf,0.98072,0.000750252,0.000750252,0.000750252
69,4213.04,2.10623,1.94293,0.99137,0.55201,0.53942,0.49982,0.38173,2.02106,3.90572,0.97994,0.000743468,0.000743468,0.000743468
70,4274.05,2.16249,1.86639,1.0112,0.80136,0.59717,0.61508,0.4743,1.99132,1.70377,0.97439,0.000736625,0.000736625,0.000736625
71,4335.08,2.10981,1.73104,0.99754,0.76103,0.57603,0.55656,0.43959,1.95273,3.37698,0.97276,0.000729725,0.000729725,0.000729725
72,4396.2,2.11318,1.81982,1.01133,0.81399,0.63449,0.63539,0.49673,1.93865,1.29167,0.96832,0.00072277,0.00072277,0.00072277
73,4457.74,2.11915,1.80555,1.00442,0.80667,0.58228,0.60371,0.46944,1.95229,1.65018,0.97892,0.000715761,0.000715761,0.000715761
74,4519,2.10411,1.708,0.99012,0.50193,0.58779,0.33552,0.26285,1.93165,5.42601,0.96577,0.0007087,0.0007087,0.0007087
75,4580.39,2.15094,1.73722,1.00446,0.45738,0.57382,0.30934,0.24415,1.90323,8.17626,0.9642,0.000701588,0.000701588,0.000701588
76,4641.98,2.11035,1.73958,0.99924,0.5114,0.5843,0.4605,0.35819,1.98,3.73063,0.97436,0.000694428,0.000694428,0.000694428
77,4703.65,2.10736,1.78542,1.0105,0.83557,0.60917,0.63779,0.49618,1.91085,1.36291,0.96942,0.000687222,0.000687222,0.000687222
78,4765.6,2.1463,1.85501,1.02167,0.42755,0.59588,0.28927,0.22716,1.94155,11.8887,0.96687,0.00067997,0.00067997,0.00067997
79,4827.16,2.05095,1.71372,0.99299,0.72194,0.506,0.49418,0.39288,1.99065,1.97889,0.97876,0.000672675,0.000672675,0.000672675
80,4889.04,2.07946,1.76727,1.00505,0.6916,0.54589,0.55724,0.44363,1.91541,2.0991,0.96251,0.000665339,0.000665339,0.000665339
81,4949.85,2.05831,1.79478,1.00829,0.8037,0.61831,0.64194,0.49576,1.88557,1.32622,0.9578,0.000657963,0.000657963,0.000657963
82,5011.68,2.11839,1.74492,1.00062,0.8091,0.61952,0.63527,0.49408,1.88091,1.37032,0.95403,0.00065055,0.00065055,0.00065055
83,5073.22,2.04093,1.73678,1.00207,0.80743,0.60471,0.59397,0.47417,1.96045,1.39808,0.97854,0.000643101,0.000643101,0.000643101
84,5134.96,2.09524,1.73638,0.98709,0.78679,0.61206,0.60346,0.47937,1.90184,1.36133,0.95949,0.000635617,0.000635617,0.000635617
85,5196.6,2.06474,1.68236,0.99271,0.83333,0.6021,0.62465,0.4945,1.93022,1.37985,0.96811,0.000628101,0.000628101,0.000628101
86,5257.77,2.1132,1.69832,1.00586,0.79197,0.59515,0.59824,0.4727,1.90412,1.407,0.96229,0.000620555,0.000620555,0.000620555
87,5318.8,2.11196,1.64275,0.99346,0.81412,0.63537,0.65108,0.5053,1.92285,1.2925,0.95716,0.000612981,0.000612981,0.000612981
88,5379.87,2.09717,1.64194,1.01078,0.76297,0.58853,0.61046,0.47058,1.9562,1.52343,0.9663,0.00060538,0.00060538,0.00060538
89,5440.76,2.09303,1.63152,1.00092,0.76861,0.59362,0.61614,0.47433,1.8668,1.40174,0.94414,0.000597754,0.000597754,0.000597754
90,5501.8,2.08448,1.74155,0.98091,0.80324,0.61004,0.64232,0.50073,1.87007,1.37871,0.95419,0.000590105,0.000590105,0.000590105
91,5562.56,2.07249,1.70331,0.9822,0.78961,0.64203,0.6342,0.49143,1.92987,1.37375,0.96143,0.000582435,0.000582435,0.000582435
92,5623.12,2.07873,1.6224,1.00396,0.80393,0.61439,0.64312,0.50626,1.86377,1.27128,0.94958,0.000574746,0.000574746,0.000574746
93,5684.19,2.08786,1.68221,0.9893,0.80938,0.59294,0.59058,0.46689,1.93507,1.62108,0.96968,0.00056704,0.00056704,0.00056704
94,5744.87,2.04984,1.65577,0.99158,0.83926,0.62309,0.64756,0.50712,1.89852,1.29822,0.95723,0.000559318,0.000559318,0.000559318
95,5805.75,2.07216,1.55963,0.98478,0.83022,0.63817,0.65651,0.50616,1.9487,1.28057,0.9555,0.000551584,0.000551584,0.000551584
